V1	V2	V3	V4	V5	v5ny	global_MF	ZV3	ZV4	Zv5ny	lokal_MF	FAC1_1	FAC1_2
Cameroon	1986	1392,8366	2160	0,0032110358	3,2110358116	-1,2206697428	-0,9335161014	-1,408970114	-0,7180615951	-0,0015716603	-0,0015716603	-1,2206697428
Cameroon	1987	1288,5336	2026	0,0031185873	3,1185873305	-1,3674560957	-1,0064124547	-1,6811389672	-0,7206606336	-0,5704411562	-0,5704411562	-1,3674560957
Cameroon	1988	1237,6899	1985	0,0032103184	3,2103184101	-1,416888586	-1,0419466226	-1,7644145118	-0,7180817637	-0,7490583527	-0,7490583527	-1,416888586
Cameroon	1989	1282,4761	2030	0,0035772966	3,5772965992	-1,3616868034	-1,0106459826	-1,6730145238	-0,7077647697	-0,4239109314	-0,4239109314	-1,3616868034
Cameroon	1990	1277,9254	2034	0,0026771668	2,6771668007	-1,3676920557	-1,0138264226	-1,6648900804	-0,7330704527	-0,7239190875	-0,7239190875	-1,3676920557
Cameroon	1991	1264,6924	2015	0,0019525505	1,9525505462	-1,394443414	-1,0230748377	-1,7034811865	-0,7534418583	-1,0365977005	-1,0365977005	-1,394443414
Cameroon	1992	1258,3486	2113	0	2,1	-1,3108149854	-1,0275084579	-1,5044323237	-0,7492965571	-0,7875240563	-0,7875240563	-1,3108149854
Cameroon	1993	1239,7713	2021	0,002307599	2,3075989573	-1,3934683396	-1,0404919524	-1,6912945214	-0,7434602506	-0,9641676776	-0,9641676776	-1,3934683396
Cameroon	1994	1201,4271	2032	0,0028263137	2,8263136713	-1,3906971429	-1,0672903412	-1,6689523021	-0,7288774314	-0,8579761889	-0,8579761889	-1,3906971429
Cameroon	1995	1216,465	2048	0,0019996467	1,9996467097	-1,3799397373	-1,056780499	-1,6364545286	-0,7521178264	-1,0614624804	-1,0614624804	-1,3799397373
Cameroon	1996	1246,0887	2033	0,0009698049	1,96	-1,3844180242	-1,0360767829	-1,6669211913	-0,753232429	-1,038172244	-1,038172244	-1,3844180242
Cameroon	1997	1177,6686	2097	0,0025715581	2,5715580605	-1,3441830954	-1,083894926	-1,5369300972	-0,7360394704	-0,8553093827	-0,8553093827	-1,3441830954
Cameroon	1998	1226,9712	2100	0,0026667335	2,6667335056	-1,3261663882	-1,0494378179	-1,5308367647	-0,7333637678	-0,7017943596	-0,7017943596	-1,3261663882
Cameroon	1999	1346,1503	2120	0,0030870053	3,0870053064	-1,2699538709	-0,9661447029	-1,4902145478	-0,7215485107	-0,2397255656	-0,2397255656	-1,2699538709
Cameroon	2000	1366,1858	2116	0,0020553924	2,0553923809	-1,2767406402	-0,9521420866	-1,4983389912	-0,7505506277	-0,5432894045	-0,5432894045	-1,2767406402
Cameroon	2001	1373,1248	2162	0,0038416753	3,8416752688	-1,2191111786	-0,9472924869	-1,4049078923	-0,7003321941	0,165552662	0,165552662	-1,2191111786
Cameroon	2002	1387,0652	2204	0,0043804622	4,380462226	-1,1740654877	-0,9375496768	-1,3196012368	-0,6851850765	0,468817394	0,468817394	-1,1740654877
Cameroon	2003	1379,6868	2233	0,0034193822	3,4193822316	-1,1599811068	-0,9427063689	-1,2606990223	-0,7122042749	0,1968715265	0,1968715265	-1,1599811068
Cameroon	2004	1456,4109	2246	0,0039678767	3,9678766503	-1,1211865724	-0,8890846408	-1,2342945813	-0,6967842479	0,5866675179	0,5866675179	-1,1211865724
Cameroon	2005	1487,2534	2311	0,0045990799	4,5990798761	-1,0505537948	-0,8675291173	-1,1022723764	-0,6790389974	1,0105854942	1,0105854942	-1,0505537948
Cameroon	2006	1535,8024	2354	0,0048251378	4,8251377517	-0,9972242197	-0,8335986929	-1,0149346101	-0,6726837485	1,2934766835	1,2934766835	-0,9972242197
Cameroon	2007	1580,9391	2378	0,0043703746	4,3703745852	-0,9673471495	-0,8020530918	-0,9661879498	-0,6854686741	1,3011830816	1,3011830816	-0,9673471495
Cameroon	2008	1620,2233	2446	0,0048583543	4,858354277	-0,8929284161	-0,7745977461	-0,8280724123	-0,67174992	1,7040080996	1,7040080996	-0,8929284161
Cameroon	2009	1693,8301	2492	0,0049762393	4,9762392638	-0,8305825712	-0,7231546688	-0,7346413135	-0,6684357756	2,0163104897	2,0163104897	-0,8305825712
Cameroon	2010	1650,7979	2510	0,0045425636	4,5425635983	-0,8317503232	-0,7532294552	-0,6980813182	-0,6806278605	1,8114472992	1,8114472992	-0,8317503232
Canada	1986	4728,4924	3086	0,0231903288	23,1903287869	0,7411101991	1,3977413275	0,4718385285	-0,1563763194	-1,046212167	-1,046212167	0,7411101991
Canada	1987	4740,3021	3139	0,022309695	22,3096950249	0,7822091931	1,4059950121	0,5794874032	-0,181133903	-0,9360862849	-0,9360862849	0,7822091931
Canada	1988	4711,942	3015	0,0226558873	22,6558873006	0,6704214557	1,3861744137	0,3276296585	-0,1714012711	-1,2781471677	-1,2781471677	0,6704214557
Canada	1989	4721,766	3041	0,0234775143	23,4775143134	0,7030496332	1,3930403119	0,3804385404	-0,1483025661	-1,1573212045	-1,1573212045	0,7030496332
Canada	1990	4609,6496	3023	0,0243951909	24,3951908708	0,6626766107	1,3146832492	0,3438785452	-0,1225035846	-1,3214149293	-1,3214149293	0,6626766107
Canada	1991	4475,9885	3042	0,0234357555	23,4357555148	0,6308312537	1,2212688051	0,3824696513	-0,1494765467	-1,5132073182	-1,5132073182	0,6308312537
Canada	1992	4527,3572	3092	0,0261616166	26,1616165714	0,7134888221	1,2571698905	0,4840251935	-0,0728434035	-1,1780395544	-1,1780395544	0,7134888221
