Cuba,Pigmeat,Protein supply quantity (g/capita/day),1.18,1.36,1.73,2.71,2.8,5.69
Cuba,Poultry Meat,Protein supply quantity (g/capita/day),0.9,1.41,3.24,4.19,3.61,5.16
Cuba,Meat,Protein supply quantity (g/capita/day),11.56,12.86,13.05,11.44,9.47,17.23
Cuba,Offals,Protein supply quantity (g/capita/day),1.8,1.96,1.48,1.27,1.02,0.9
Cyprus,Bovine Meat,Protein supply quantity (g/capita/day),4.43,4.1,3.5,3.81,2.1,2.75
Cyprus,Mutton & Goat Meat,Protein supply quantity (g/capita/day),2.63,6.33,3.43,3.67,4.72,2.12
Cyprus,Pigmeat,Protein supply quantity (g/capita/day),1.01,3.84,4.73,7.83,9.14,9.29
Cyprus,Poultry Meat,Protein supply quantity (g/capita/day),1.66,4.8,4.39,7.61,10.65,9.73
Cyprus,Meat,Protein supply quantity (g/capita/day),10.1,19.46,17.44,23.96,27.43,25.04
Cyprus,Offals,Protein supply quantity (g/capita/day),0.83,1.77,1.38,2.01,1.83,1.31
Democratic People's Republic of Korea,Bovine Meat,Protein supply quantity (g/capita/day),0.65,0.57,0.68,0.58,0.35,0.33
Democratic People's Republic of Korea,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.03,0.06,0.08,0.11,0.21,0.27
Democratic People's Republic of Korea,Pigmeat,Protein supply quantity (g/capita/day),1.28,1.85,3.02,3.82,1.93,1.38
Democratic People's Republic of Korea,Poultry Meat,Protein supply quantity (g/capita/day),0.48,0.48,0.68,0.88,0.51,0.54
Democratic People's Republic of Korea,Meat,Protein supply quantity (g/capita/day),2.43,2.95,4.45,5.38,4.84,5.35
Democratic People's Republic of Korea,Offals,Protein supply quantity (g/capita/day),0.32,0.39,0.57,0.61,0.37,0.31
Denmark,Bovine Meat,Protein supply quantity (g/capita/day),5.91,6.9,4.92,7.12,8.63,10.47
Denmark,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.1,0.12,0.17,0.34,0.38,0.33
Denmark,Pigmeat,Protein supply quantity (g/capita/day),9.16,7.96,13.27,16.78,6.51,5.56
Denmark,Poultry Meat,Protein supply quantity (g/capita/day),2.75,1.89,3.51,5.47,8.18,10.25
Denmark,Meat,Protein supply quantity (g/capita/day),18.51,17.15,22.06,30.09,24.08,27.02
Denmark,Offals,Protein supply quantity (g/capita/day),0.4,1.11,1.12,6.15,9.7,3.12
Djibouti,Bovine Meat,Protein supply quantity (g/capita/day),1.0,1.05,2.22,2.02,3.32,3.3
Djibouti,Mutton & Goat Meat,Protein supply quantity (g/capita/day),9.68,7.57,3.46,2.77,2.41,2.02
Djibouti,Pigmeat,Protein supply quantity (g/capita/day),0.0,0.0,0.34,0.07,0.02,0.04
Djibouti,Poultry Meat,Protein supply quantity (g/capita/day),0.0,0.0,0.31,0.13,0.19,0.28
Djibouti,Meat,Protein supply quantity (g/capita/day),11.74,9.34,7.4,5.37,6.25,5.94
Djibouti,Offals,Protein supply quantity (g/capita/day),2.43,1.96,1.23,1.09,1.31,1.69
Dominica,Bovine Meat,Protein supply quantity (g/capita/day),1.84,1.41,1.35,3.36,3.64,3.67
Dominica,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.49,0.46,0.37,0.54,0.82,0.66
Dominica,Pigmeat,Protein supply quantity (g/capita/day),2.83,2.78,3.03,2.97,4.93,4.01
Dominica,Poultry Meat,Protein supply quantity (g/capita/day),0.9,3.31,5.74,9.49,13.5,10.23
Dominica,Meat,Protein supply quantity (g/capita/day),7.37,10.92,10.52,18.44,22.9,18.56
Dominica,Offals,Protein supply quantity (g/capita/day),0.45,0.23,0.37,1.04,1.92,1.62
Dominican Republic,Bovine Meat,Protein supply quantity (g/capita/day),2.6,2.46,3.06,3.67,3.07,3.91
Dominican Republic,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.11,0.13,0.15,0.11,0.06,0.09
Dominican Republic,Pigmeat,Protein supply quantity (g/capita/day),0.7,0.81,0.35,1.32,1.9,3.02
Dominican Republic,Poultry Meat,Protein supply quantity (g/capita/day),1.64,1.91,3.23,4.57,6.92,8.37
Dominican Republic,Meat,Protein supply quantity (g/capita/day),5.06,5.31,6.93,9.68,11.97,15.4
Dominican Republic,Offals,Protein supply quantity (g/capita/day),0.91,0.78,1.15,0.91,1.02,1.12
Ecuador,Bovine Meat,Protein supply quantity (g/capita/day),3.03,3.32,3.56,4.16,5.6,6.73
