V1,V2,V3,V4,V5,v5ny,FAC1_1,ZV3,ZV4,Zv5ny,FAC1_2
Sri Lanka,1995,689.5123,2221,0.0034301498444,3.4301498444,-1.37434781268219,-1.42506262108897,-1.28507235243651,-0.71190156104192,-1.37434781268219
Sri Lanka,1993,614.3016,2095,0.00370712370826,3.70712370826,-1.50233454319598,-1.47762664856069,-1.54099231890216,-0.704114892049186,-1.50233454319597
Sri Lanka,1994,641.3795,2290,0.00432865117476,4.32865117476,-1.32123646300942,-1.45870216734357,-1.14492570413389,-0.686641659795133,-1.32123646300942
Sri Lanka,1987,611.9022,2231,0.00491863301197,4.91863301197,-1.3753292828709,-1.47930356590777,-1.26476124398685,-0.670055281520823,-1.3753292828709
Sri Lanka,1989,592.1008,2204,0.00545921000947,5.45921000947,-1.39951725436543,-1.49314257197444,-1.31960123680092,-0.654857839834606,-1.39951725436542
Sri Lanka,1990,593.0726,2167,0.0057533754862,5.7533754862,-1.42836614754657,-1.49246339039659,-1.39475233806465,-0.646587856651124,-1.42836614754657
Sri Lanka,1986,630.5963,2291,0.00606660249597,6.06660249597,-1.30793752162136,-1.46623844105241,-1.14289459328892,-0.637781989517409,-1.30793752162136
Sri Lanka,1996,692.8163,2240,0.00625195646069,6.25195646069,-1.33167311100396,-1.42275348759112,-1.24648124638216,-0.632571064740423,-1.33167311100396
Sri Lanka,1988,623.8492,2246,0.00646033183007,6.46033183007,-1.34504604483705,-1.47095392368659,-1.23429458131237,-0.626712930673229,-1.34504604483704
Sri Lanka,1992,626.0794,2153,0.00656254488786,6.56254488786,-1.42335119211611,-1.46939525857554,-1.42318788989416,-0.623839377058263,-1.42335119211611
Sri Lanka,1991,605.7021,2187,0.00787553309783,7.87553309783,-1.38836602092196,-1.48363675555668,-1.35413012116534,-0.58692685238927,-1.38836602092195
Sri Lanka,2001,734.0114,2356,0.00907389544801,9.07389544801,-1.19446896472261,-1.39396263245879,-1.01087238836616,-0.55323684704305,-1.19446896472261
Sri Lanka,2000,749.5572,2315,0.010287525288,10.287525288,-1.21417380105888,-1.38309782388408,-1.09414793300975,-0.519117621091523,-1.21417380105888
Sri Lanka,1998,708.6036,2297,0.0104486654813,10.4486654813,-1.24030028476765,-1.41171989701286,-1.13070792821913,-0.514587427053841,-1.24030028476765
Sri Lanka,1999,732.2831,2384,0.0106781498502,10.6781498502,-1.15650176353353,-1.39517052453638,-0.954001284707128,-0.508135847851646,-1.15650176353353
Sri Lanka,2010,816.8204,2465,0.010903328457,10.903328457,-1.05989383522176,-1.33608822694327,-0.78948130626492,-0.501805318136818,-1.05989383522176
Sri Lanka,2003,749.5405,2330,0.0109091192192,10.9091192192,-1.1957041185869,-1.38310949535182,-1.06368127033527,-0.501642520290701,-1.1957041185869
Sri Lanka,1997,719.0415,2270,0.0109639277425,10.9639277425,-1.25577103000163,-1.40442495011903,-1.1855479210332,-0.500101667941061,-1.25577103000163
Sri Lanka,2004,745.5702,2348,0.0114345259912,11.4345259912,-1.17669204560794,-1.3858842994458,-1.02712127512589,-0.48687156478216,-1.17669204560794
Sri Lanka,2002,729.8175,2331,0.0116449532336,11.6449532336,-1.19406180411142,-1.39689370842024,-1.0616501594903,-0.480955745647504,-1.19406180411142
Sri Lanka,2009,766.1804,2448,0.0122198517579,12.2198517579,-1.07763607132815,-1.37148003091755,-0.824010190629334,-0.464793410144981,-1.07763607132815
Sri Lanka,2006,730.4481,2376,0,12.56,-1.14699252523977,-1.39645298820725,-0.970250171466852,-0.455230696418924,-1.14699252523977
Sri Lanka,2007,773.982,2383,0,13.58,-1.11892924697337,-1.36602756847905,-0.956032395552093,-0.42655505799622,-1.11892924697337
Sri Lanka,2005,716.4519,2350,0.0136349193367,13.6349193367,-1.16379890301566,-1.4062347963981,-1.02305905343596,-0.425011090308353,-1.16379890301566
Sri Lanka,2008,767.617,2443,0.0148435394178,14.8435394178,-1.05791071184501,-1.37047600513577,-0.834165744854162,-0.391032705567135,-1.05791071184501
Sweden,1986,3341.8536,2975,0.0187539048967,18.7539048967,0.195694834841198,0.428632942941146,0.246385224667496,-0.281099150102859,0.1956948348412
Sweden,1989,3577.2604,2979,0.021100462355,21.100462355,0.289867798994307,0.593156468213902,0.254509668047358,-0.215129509698633,0.289867798994308
Sweden,1987,3352.4577,2899,0.0212256256546,21.2256256546,0.155778547793807,0.436044045400144,0.0920208004501159,-0.211610747421062,0.155778547793808
Sweden,1990,3525.677,2973,0.0212440166093,21.2440166093,0.270746453264425,0.557105331145837,0.242323002977564,-0.211093715688488,0.270746453264427
Sweden,1988,3480.1055,2951,0.0223085001309,22.3085001309,0.247942019267317,0.525255852575262,0.197638564388323,-0.181167495519538,0.247942019267318
Sweden,1991,3460.4452,2942,0.0238476957504,23.8476957504,0.248237957871059,0.511515459927642,0.179358566783633,-0.137895518022879,0.248237957871061
Sweden,1992,3580.2281,3053,0.0242462880986,24.2462880986,0.382600243999493,0.59523056490929,0.404811870574806,-0.126689743459115,0.382600243999495
Sweden,1993,3607.4728,3137,0.0271766426934,27.1766426934,0.48916582400674,0.614271621025761,0.57542518155191,-0.0443075975661786,0.489165824006741
Sweden,1995,3609.6737,3088,0.0282590457006,28.2590457006,0.457461629781401,0.615809808651491,0.475900750148599,-0.0138776002503797,0.457461629781403
Sweden,1996,3681.7715,3039,0.0299966679584,29.9966679584,0.452325665231515,0.666198260558615,0.376376318745289,0.0349728189456162,0.452325665231516
Sweden,1997,3764.6005,3087,0.0301982201025,30.1982201025,0.519869836972003,0.724086643879816,0.473869639303634,0.0406391291490792,0.519869836972004
Sweden,1994,3737.5539,3087,0.0304573515926,30.4573515926,0.514199774192674,0.705184037928576,0.473869639303634,0.0479241888687305,0.514199774192676
Sweden,1998,3805.804,3063,0.0318570061189,31.8570061189,0.52636045970312,0.752883369690523,0.425122979024461,0.0872731958421425,0.526360459703122
Sweden,2000,3817.9505,3099,0.0340243723478,34.0243723478,0.580367777102106,0.761372440523333,0.49824296944322,0.148205166733825,0.580367777102108
Sweden,1999,3892.9888,3115,0.0341984624694,34.1984624694,0.617873472705518,0.813815979310126,0.530740742962668,0.153099426910263,0.617873472705519
Sweden,2001,3883.4101,3124,0.0352474742201,35.2474742201,0.632204711041016,0.807121518948191,0.549020740567358,0.182590683443833,0.632204711041018
